Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month,Type_enc,Vendor_enc,Foundry_Fujitsu,Foundry_GlobalFoundries,Foundry_IBM,Foundry_Intel,Foundry_NEC,Foundry_Renesas,Foundry_Samsung,Foundry_Sony,Foundry_TSMC,Foundry_UMC,Foundry_Unknown,Transistors (million)_log,Die Size (mm^2)_log,TDP (W)_log,FP16 GFLOPS_log,FP32 GFLOPS_log,FP64 GFLOPS_log
180.0,61.0,217.0,42.0,1600.0,,,,2001.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.127134385045092,,,
180.0,61.0,217.0,42.0,1600.0,,,,2001.0,7.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.127134385045092,,,
180.0,64.0,217.0,42.0,1700.0,,,,2001.0,4.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.174387269895637,,,
180.0,64.0,217.0,42.0,1700.0,,,,2001.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.174387269895637,,,
180.0,67.0,217.0,42.0,1800.0,,,,2001.0,7.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.219507705176107,,,
180.0,67.0,217.0,42.0,1800.0,,,,2001.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.219507705176107,,,
180.0,69.0,217.0,42.0,1800.0,,,,2001.0,7.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.248495242049359,,,
180.0,69.0,217.0,42.0,1900.0,,,,2001.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.248495242049359,,,
180.0,69.0,217.0,42.0,1900.0,,,,2001.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.248495242049359,,,
130.0,110.0,146.0,55.0,2000.0,,,,2001.0,1.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.02535169073515,4.990432586778736,4.709530201312334,,,
180.0,72.0,217.0,42.0,2000.0,,,,2001.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.290459441148391,,,
180.0,72.0,217.0,42.0,2000.0,,,,2001.0,8.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.7612001156935624,5.384495062789089,4.290459441148391,,,
90.0,84.0,109.0,125.0,3060.0,,,,2001.0,1.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.836281906951478,4.700480365792417,4.442651256490317,,,
180.0,38.0,80.0,44.0,800.0,,,,2001.0,6.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.6635616461296463,,,
180.0,38.0,80.0,44.0,866.0,,,,2001.0,6.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.6635616461296463,,,
180.0,27.0,80.0,44.0,933.0,,,,2001.0,6.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.332204510175204,,,
180.0,29.0,80.0,44.0,1000.0,,,,2001.0,6.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4011973816621555,,,
130.0,30.0,80.0,44.0,1000.0,,,,2001.0,7.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4339872044851463,,,
130.0,30.0,80.0,44.0,1000.0,,,,2001.0,6.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4339872044851463,,,
180.0,29.0,80.0,44.0,1133.0,,,,2001.0,6.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4011973816621555,,,
130.0,29.0,80.0,44.0,1133.0,,,,2001.0,7.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4011973816621555,,,
130.0,29.0,80.0,44.0,1133.0,,,,2001.0,6.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4011973816621555,,,
130.0,30.0,80.0,44.0,1200.0,,,,2001.0,7.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4339872044851463,,,
130.0,30.0,80.0,44.0,1266.0,,,,2001.0,7.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4339872044851463,,,
130.0,30.0,80.0,44.0,1333.0,,,,2001.0,12.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4339872044851463,,,
130.0,31.0,80.0,44.0,1400.0,,,,2001.0,12.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,3.8066624897703196,4.394449154672439,3.4657359027997265,,,
180.0,36.0,375.0,140.0,900.0,,,,2001.0,3.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.948759890378168,5.929589143389895,3.6109179126442243,,,
180.0,36.0,375.0,140.0,900.0,,,,2001.0,3.0,0,7.0,0,0,0,1,0,0,0,0,0,0,0,4.948759890378168,5.929589143389895,3.6109179126442243,,,
130.0,8.0,56.0,16.0,800.0,,,,2001.0,9.0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,2.833213344056216,4.04305126783455,2.1972245773362196,,,
130.0,9.0,56.0,16.0,866.0,,,,2001.0,9.0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,2.833213344056216,4.04305126783455,2.302585092994046,,,
130.0,51.0,80.0,37.0,1533.0,,,,2002.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,3.9512437185814275,,,
180.0,70.0,150.0,37.0,1667.0,,,,2002.0,1.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,5.017279836814924,4.2626798770413155,,,
130.0,60.0,80.0,37.0,1667.0,,,,2002.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,4.110873864173311,,,
130.0,60.0,80.0,37.0,1667.0,,,,2002.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,4.110873864173311,,,
180.0,72.0,150.0,37.0,1733.0,,,,2002.0,3.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,5.017279836814924,4.290459441148391,,,
130.0,68.0,80.0,37.0,1800.0,,,,2002.0,6.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,4.23410650459726,,,
130.0,65.0,80.0,37.0,2000.0,,,,2002.0,8.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,4.189654742026425,,,
130.0,68.0,80.0,63.0,2000.0,,,,2002.0,8.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,4.1588830833596715,4.394449154672439,4.23410650459726,,,
130.0,68.0,80.0,37.0,2133.0,,,,2002.0,10.0,0,6.0,0,0,0,0,0,0,0,0,0,0,1,3.6375861597263857,4.394449154672439,4.23410650459726,,,
