Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (GHz),Foundry,Vendor,FP16 GFLOPS,FP32 GFLOPS,FP64 GFLOPS,Release Year,Release Month
CPU,2003-06-30,130.0,85.0,193.0,106.0,1400.0,Unknown,AMD,,,,2003.0,6.0
CPU,2003-09-09,130.0,82.0,193.0,106.0,1400.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-06-30,130.0,85.0,193.0,106.0,1600.0,Unknown,AMD,,,,2003.0,6.0
CPU,2003-09-09,130.0,82.0,193.0,106.0,1600.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-06-30,130.0,85.0,193.0,106.0,1800.0,Unknown,AMD,,,,2003.0,6.0
CPU,2003-09-09,130.0,82.0,193.0,106.0,1800.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-09-09,130.0,89.0,193.0,106.0,2000.0,Unknown,AMD,,,,2003.0,9.0
CPU,2003-11-17,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,,2003.0,11.0
CPU,2003-03-31,130.0,73.0,146.0,55.0,2300.0,Intel,Intel,,,,2003.0,3.0
CPU,2003-03-31,130.0,73.0,146.0,55.0,2400.0,Intel,Intel,,,,2003.0,3.0
CPU,2003-06-25,130.0,73.0,146.0,55.0,2600.0,Intel,Intel,,,,2003.0,6.0
CPU,2003-09-24,130.0,73.0,146.0,55.0,2700.0,Intel,Intel,,,,2003.0,9.0
CPU,2003-11-03,130.0,73.0,146.0,55.0,2800.0,Intel,Intel,,,,2003.0,11.0
CPU,2003-06-11,130.0,60.0,131.0,55.0,2400.0,Intel,Intel,,,,2003.0,6.0
CPU,2003-06-11,130.0,66.0,131.0,55.0,2667.0,Intel,Intel,,,,2003.0,6.0
CPU,2003-06-11,130.0,68.0,131.0,55.0,2800.0,Intel,Intel,,,,2003.0,6.0
CPU,2003-06-11,130.0,70.0,131.0,55.0,3067.0,Intel,Intel,,,,2003.0,6.0
CPU,2003-09-23,130.0,66.0,131.0,55.0,2667.0,Intel,Intel,,,,2003.0,9.0
CPU,2003-09-23,130.0,68.0,131.0,55.0,2800.0,Intel,Intel,,,,2003.0,9.0
CPU,2003-09-23,130.0,70.0,131.0,55.0,3067.0,Intel,Intel,,,,2003.0,9.0
CPU,2003-09-23,130.0,76.0,131.0,55.0,3200.0,Intel,Intel,,,,2003.0,9.0
CPU,2003-05-21,130.0,66.0,131.0,55.0,2400.0,Intel,Intel,,,,2003.0,5.0
CPU,2003-05-21,130.0,69.0,131.0,55.0,2600.0,Intel,Intel,,,,2003.0,5.0
CPU,2003-05-21,130.0,70.0,131.0,55.0,2800.0,Intel,Intel,,,,2003.0,5.0
CPU,2003-04-14,130.0,82.0,131.0,55.0,3000.0,Intel,Intel,,,,2003.0,4.0
CPU,2003-06-01,130.0,110.0,146.0,55.0,3060.0,Intel,Intel,,,,2003.0,6.0
CPU,2003-06-23,130.0,82.0,131.0,55.0,3200.0,Intel,Intel,,,,2003.0,6.0
CPU,2003-11-03,130.0,92.0,269.0,178.0,3200.0,Intel,Intel,,,,2003.0,11.0
CPU,2003-01-14,130.0,35.0,131.0,55.0,2400.0,Intel,Intel,,,,2003.0,1.0
CPU,2003-04-16,130.0,35.0,131.0,55.0,2500.0,Intel,Intel,,,,2003.0,4.0
CPU,2003-06-11,130.0,35.0,131.0,55.0,2600.0,Intel,Intel,,,,2003.0,6.0
CPU,2003-03-12,130.0,24.0,100.0,77.0,1300.0,Intel,Intel,,,,2003.0,3.0
CPU,2003-03-12,130.0,24.0,100.0,77.0,1400.0,Intel,Intel,,,,2003.0,3.0
CPU,2003-03-12,130.0,24.0,100.0,77.0,1500.0,Intel,Intel,,,,2003.0,3.0
CPU,2003-03-12,130.0,24.0,100.0,77.0,1600.0,Intel,Intel,,,,2003.0,3.0
CPU,2003-06-02,130.0,24.0,100.0,77.0,1700.0,Intel,Intel,,,,2003.0,6.0
CPU,2003-07-14,130.0,97.0,237.0,286.0,3066.0,Intel,Intel,,,,2003.0,7.0
CPU,2003-03-10,130.0,89.0,217.0,55.0,3066.0,Intel,Intel,,,,2003.0,3.0
CPU,2003-07-14,130.0,97.0,237.0,286.0,3066.0,Intel,Intel,,,,2003.0,7.0
CPU,2003-10-06,130.0,97.0,237.0,286.0,3200.0,Intel,Intel,,,,2003.0,10.0
CPU,2004-10-14,90.0,67.0,84.0,69.0,1800.0,Unknown,AMD,,,,2004.0,10.0
CPU,2004-10-14,90.0,67.0,84.0,69.0,2000.0,Unknown,AMD,,,,2004.0,10.0
CPU,2004-06-01,130.0,89.0,193.0,106.0,2200.0,Unknown,AMD,,,,2004.0,6.0
CPU,2004-06-01,130.0,89.0,144.0,69.0,2200.0,Unknown,AMD,,,,2004.0,6.0
CPU,2004-10-14,90.0,67.0,84.0,69.0,2200.0,Unknown,AMD,,,,2004.0,10.0
